Name,Website URL,main category
1E,www.1e.com,HR
4CAD Group,,Industrial
4PS Construction Solutions,www.4psgroup.com,Construction
6point6,www.6point6.co.uk,Cybersecurity
9altitudes,https://www.9altitudes.com/,Industrial
10x Future Technologies,www.10xbanking.com,Banking
24SevenOffice,www.24sevenofficeus.com,ERP
A+W Software,www.a-w.com,ERP
A2 Mac1,www.a2mac1.com,Industrial
Aareon,www.aareon.com,ERP
AB Dynamics,www.abdynamics.com,Industrial
AB Tasty,https://www.abtasty.com,CXRM
ABAX,www.abax.no,Supply Chain
Accenture Cybersecurity Consulting (Accenture),www.accenture.com,Cybersecurity
AccuLynx,acculynx.com,Construction
Accurx,https://www.accurx.com,
Ach@t Solutions,www.achatsolutions.com,Supply Chain
Achilles,www.achilles.com,GRC
Acquia,https://www.acquia.com/,CXRM
Acrolinx,www.acrolinx.com,
Acronis,www.acronis.com,Cybersecurity
Act-On ,www.act-on.com,HR
Acteos,www.acteos.com,Supply Chain
Actico,www.actico.com,Banking
Adarga,www.adarga.ai,
Adarma Security,www.adarma.com,Cybersecurity
additiv,https://www.additiv.com/,Banking
AddSecure,www.addsecure.com,Supply Chain
Adler & Allan,www.adlerandallan.co.uk,GRC
AdNovum Informatik,www.adnovum.com,Cybersecurity
Advanced Computer Software Group,www.oneadvanced.com,ERP
AEB,www.aeb.com/uk-en,Supply Chain
Agicap,www.agicap.fr,Supply Chain
Aixigo,www.aixigo.com,Banking
Alcumus,www.alcumus.com,GRC
Alert,https://www.alert-online.com/,Healthcare
Algolia,www.algolia.com,CXRM
Alloy,www.alloy.com,Banking
Alpega,www.alpegagroup.com,Supply Chain
Altium,www.altium.com,Industrial
Amberscript,https://www.amberscript.com/,
Amboss,www.amboss.com,EdTech
AMCS (Advanced Manufacturing Control Systems),www.amcsgroup.com,ERP
AML Analytics,www.aml-analytics.com,GRC
Anecdotes.ai,www.anecdotes.ai/,
Anodot,www.anodot.com,
Antemeta,www.antemeta.fr,Cybersecurity
Anydesk,www.anydesk.com,
Appway,www.appway.com,Banking
Arago Consulting,www.aragoconsulting.eu,HR
Arche MC2,https://www.arche-mc2.fr/,Healthcare
Aryza,www.aryza.com,Banking
Asolvi,www.asolvi.com,CXRM
Assessio,https://assessio.com/en/,HR
Atos Digital Security (Atos),www.atos.net,Cybersecurity
AU10TIX,www.au10tix.com,Banking
Auditboard,https://www.auditboard.com/,GRC
AutoForm Engineering,www.autoform.com,Industrial
Avaloq,www.avaloq.com,Banking
Aveniq,http://aveniq.ch,Industrial
Avetta,https://www.avetta.com/fr,GRC
Avinty,www.avinty.com,Healthcare
AVSimulation,www.avsimulation.com,Industrial
axefinance,http://www.axefinance.com,Banking
Axway,www.axway.com,
Ayasdi,www.ayasdi.com,Banking
Azqore,www.azqore.com,Banking
Babel Sistemas De Informacion,www.babelgroup.com,Cybersecurity
Backbase,www.backbase.com,Banking
BASS Software,www.bassnet.no,Supply Chain
Basware,www.basware.com,Supply Chain
Beamery,www.beamery.com,HR
bee2link,www.bee2link.fr,
Benify,www.benify.se,HR
Berger-Levrault,www.berger-levrault.com,ERP
Beta CAE Systems,www.beta-cae.com,Industrial
Beta80 Group,,Industrial
BigHand,www.bighand.com,HR
BioCatch,www.biocatch.com,Banking
Bison,www.bisonapp.com,ERP
Bloomreach,https://www.bloomreach.com/,CXRM
Blue Dot,www.bluedotcorp.com,GRC
Blue Optima,https://www.blueoptima.com/,DevOps
BlueKanGo,https://www.bluekango.com,GRC
Board International,www.board.com,Productivity
BQE Software,www.bqe.com,Construction
Brightpearl,www.brightpearl.com,Supply Chain
BRYTER,www.bryter.io,
Builder.ai,www.builder.ai,
Buildertrend Solutions,www.buildertrend.com,Construction
ByBox,www.bybox.com,CXRM
Bynder,www.bynder.com,CXRM
Cadac Group,https://www.cadac.com/,Industrial
Cadenas,www.cadenas.de,Industrial
Cadmatic,www.cadmatic.com,Industrial
Callsign,www.callsign.com,
Cambio Healthcare Systems,www.cambio.se,Healthcare
Camms,https://cammsgroup.com/,GRC
Campaign Monitor,https://www.campaignmonitor.com/,CXRM
CatalystOne Solutions,https://www.catalystone.com/,HR
Causeway Technologies,www.causeway.com,Construction
CBA,https://www.cbainfo.fr/,Healthcare
Cegedim,www.cegedim.com,Healthcare
Cegid,www.cegid.com,Supply Chain
Cenit,http://www.cenit.com,Industrial
Centiro,www.centiro.se,Supply Chain
Cezanne HR,https://cezannehr.com/,HR
CHAS,https://www.chas.co.uk/,GRC
Chevin Fleet Solutions,www.chevinfleet.com,Supply Chain
ChipSoft,www.chipsoft.nl,Healthcare
CID (Asset & Wealth Management),,Banking
CIPHR,www.ciphr.com,HR
Citation,www.citation.co.uk,GRC
CleverConnect,www.cleverconnect.com,HR
cleversoft,www.clever-soft.com,Banking
CLEVR,https://www.clevr.com/,Industrial
CMiC,www.cmic.ca,Construction
Codat,www.codat.io,Banking
Codix,https://www.codix.eu,Banking
Cognigy,www.cognigy.com,
Cognite,,Industrial
Coins Technology,,Construction
Collenda,www.collenda.com,Banking
Commercetools,https://www.commercetools.com/,CXRM
Commusoft,http://www.commusoft.co.uk,Construction
Compleat,http://www.compleatsoftware.com,Supply Chain
Compleet,www.compleet.com,HR
Compliance & Risks,www.complianceandrisks.com,GRC
ComplyAdvantage,www.complyadvantage.com,Banking
Compusoft Group,www.compusoftgroup.com,ERP
Computer Systems Integration (CSI),www.csiltd.co.uk,Cybersecurity
Comsol,https://www.comsol.com/,Industrial
Condeco,http://www.condecosoftware.com,HR
Configit,https://configit.com,Industrial
Conga,http://www.conga.com,Productivity
Consafe Logistics,www.consafelogistics.com,Supply Chain
Contact Software,www.contact-software.com,Industrial
Contentful,www.contentful.com,CXRM
Contentserv,www.contentserv.com,CXRM
Contentsquare,https://contentsquare.com/,CXRM
ContractPodAi,www.contractpodai.com,Supply Chain
Control Risks Group,https://www.controlrisks.com/,GRC
Cool Company,www.coolcompany.com,HR
Copa-data,https://www.copadata.com/en/,Industrial
Corilus,www.corilus.be,Healthcare
Cority,https://www.cority.com/,GRC
CR2,www.cr2.com,Banking
Crealogix,www.crealogix.com,Banking
Crownpeak ,http://www.crownpeak.com,CXRM
CSB-System,csb.com,ERP
Cubic Interactive,https://www.rapport3.com/,Construction
Cutover,www.cutover.com,
Cybertonica,https://www.cybertonica.com/,Banking
CycloMedia Technology,www.cyclomedia.com,Location
Cyncly (Previously 20-20 Technologies and Compusoft),https://www.cyncly.com/,Construction
CYPE,www.cype.com,Construction
Cyrebro,www.cyrebro.io,
Dakosy,https://www.dakosy.de/,Supply Chain
Dalet,www.dalet.com,CXRM
Dalux,www.dalux.com,Construction
Datadome,https://datadome.co,Cybersecurity
Dedalus,www.dedalus.com,Healthcare
Detectify,https://www.detectify.com,Cybersecurity
DGS (Italy),www.dgsspa.com,Cybersecurity
Didomi,www.didomi.io,
Dietrich's Technology,www.dietrichs.com,Construction
Digpro,www.digpro.com,Location
DiliTrust,www.dilitrust.com,GRC
DIPS,www.dips.com,Healthcare
Divalto,www.divalto.com,ERP
DL Software,www.dlsoftware.fr,ERP
Dlubal Software,dlubal.com,Construction
DSIA,www.logistar-dsia.com,Supply Chain
dSpace,,Industrial
e92plus,e92plus.com,Cybersecurity
EasyVista,www.easyvista.com,
ebankIT,www.ebankit.com,Banking
EclecticIQ,www.eclecticiq.com,
EcoOnline,www.ecoonline.com,GRC
EDICOM,https://edicomgroup.com/,Supply Chain
eFront (France),www.efront.com,Banking
Egnyte,https://www.avetta.com/fr,GRC
Ehrhardt Partner Group,www.ehrhardt-partner.com,Supply Chain
Emex,https://emex.com/,GRC
EMIS Group,www.emisgroupplc.com,Healthcare
Encompass,www.encompasscorporation.com,Banking
Enhesa,www.enhesa.com,GRC
ePassi,www.epassi.fi,HR
EQS Group,www.eqs.com,GRC
Eque2,www.eque2.co.uk,Construction
ERI Bancaire (OLYMPIC Banking System),www.olympicbankingsystem.com,Banking
Ermetic,www.ermetic.com,
ESG Elektroniksystem- und Logistik-GmbH,https://esg.de/,Industrial
ESI Group,www.esi-group.com,Industrial
Esker,www.esker.fr,Supply Chain
